membership:3_PacBio_aggregated_set_id	3_PacBio_aggregated
BCM_Fam_BH16785	BCM_m84059_240402_171255_s1_A11...PacBio
BCM_Fam_BH12747	BCM_m84059_240402_191223_s2_A11...PacBio
BCM_Fam_BH12747	BCM_m84059_240402_211139_s3_A11...PacBio
BCM_Fam_BH12747	BCM_m84059_240402_231109_s4_A11...PacBio
BCM_Fam_BH16888	BCM_m84059_240405_193610_s1_A11...PacBio
BCM_Fam_BH16888	BCM_m84059_240405_213528_s2_A11...PacBio
BCM_Fam_BH16888	BCM_m84059_240405_233453_s3_A11...PacBio
BCM_Fam_BH16773	BCM_m84059_240406_013407_s4_A11...PacBio
BCM_Fam_BH16732	BCM_m84059_240409_133838_s1_A11...PacBio
BCM_Fam_BH16732	BCM_m84059_240409_153803_s2_A11...PacBio
BCM_Fam_BH16895	BCM_m84059_240409_173726_s3_A11...PacBio
BCM_Fam_BH16895	BCM_m84059_240409_193702_s4_A11...PacBio
BCM_Fam_BH10081	BCM_m84059_240716_190434_s1_A11...PacBio
BCM_Fam_BH10081	BCM_m84059_240716_210403_s2_A11...PacBio
BCM_Fam_BH17227	BCM_m84059_240729_133046_s1_A11...PacBio
BCM_Fam_BH17227	BCM_m84059_240802_164447_s1_A11...PacBio
BCM_Fam_BH17273	BCM_m84059_240805_142313_s1_A11...PacBio
BCM_Fam_BCM17289	BCM_m84059_240805_162239_s2_A11...PacBio
BCM_Fam_BCM17289	BCM_m84059_240805_182207_s3_A11...PacBio
BCM_Fam_BCM17289	BCM_m84059_240805_202140_s4_A11...PacBio
BCM_Fam_BH16499	BCM_m84059_240807_170217_s2_A11...PacBio
BCM_Fam_BH16487	BCM_m84059_240807_190142_s3_A11...PacBio
BCM_Fam_BH16487	BCM_m84059_240807_210109_s4_A11...PacBio
BCM_Fam_BH16492	BCM_m84059_240809_141810_s1_A11...PacBio
BCM_Fam_BH16492	BCM_m84059_240809_161736_s2_A11...PacBio
BCM_Fam_BH16776	BCM_m84059_240821_202657_s3_A11...PacBio
BCM_Fam_BH16628	BCM_m84059_240823_134620_s1_A11...PacBio
BCM_Fam_BH16776	BCM_m84059_240823_154550_s2_A11...PacBio
BCM_Fam_BH16778	BCM_m84059_240826_154942_s1_A11...PacBio
BCM_Fam_BH16778	BCM_m84059_240826_174910_s2_A11...PacBio
BCM_Fam_BH16774	BCM_m84059_240828_165125_s1_A11...PacBio
BCM_Fam_BH16775	BCM_m84059_240912_183032_s1_A11...PacBio
BCM_Fam_BCM17299	BCM_m84059_240912_202953_s2_A11...PacBio
BCM_Fam_BH16499	BCM_m84059_241004_020618_s2_A11...PacBio
BCM_Fam_BH16499	BCM_m84059_241004_040550_s3_A11...PacBio
BCM_Fam_BH16747	BCM_m84059_250218_204903_s1_A11...PacBio
BCM_Fam_BH16747	BCM_m84059_250218_225028_s2_A11...PacBio
BCM_Fam_BH16747	BCM_m84059_250219_005231_s3_A11...PacBio
BCM_Fam_BH16328	BCM_m84059_250219_025434_s4_A11...PacBio
BCM_Fam_BH16328	BCM_m84059_250224_161636_s1_A11...PacBio
BCM_Fam_BH16328	BCM_m84059_250224_181757_s2_A11...PacBio
BCM_Fam_BH16910	BCM_m84059_250224_202001_s3_A11...PacBio
BCM_Fam_BH16910	BCM_m84059_250224_222206_s4_A11...PacBio
BCM_Fam_BH16910	BCM_m84059_250226_021258_s1_A11...PacBio
BCM_Fam_BCM17737	BCM_m84059_250226_041455_s2_A11...PacBio
BCM_Fam_BCM17737	BCM_m84059_250226_061658_s3_A11...PacBio
BCM_Fam_BCM17737	BCM_m84059_250226_081907_s4_A11...PacBio
BCM_Fam_BCM17738	BCM_m84059_250227_120917_s1_A11...PacBio
BCM_Fam_BCM17738	BCM_m84059_250227_141123_s2_A11...PacBio
BCM_Fam_BCM17738	BCM_m84059_250227_161325_s3_A11...PacBio
BCM_Fam_BCM17738	BCM_m84059_250227_181524_s4_A11...PacBio
BCM_Fam_BCM17748	BCM_m84059_250228_220540_s1_A11...PacBio
BCM_Fam_BCM17748	BCM_m84059_250301_000749_s2_A11...PacBio
BCM_Fam_BCM17748	BCM_m84059_250301_020944_s3_A11...PacBio
BCM_Fam_BH16452	BCM_m84059_250303_202704_s1_A11...PacBio
BCM_Fam_BH16452	BCM_m84059_250303_222831_s2_A11...PacBio
BCM_Fam_BH16452	BCM_m84059_250304_003034_s3_A11...PacBio
BCM_Fam_BH5693	BCM_m84059_250304_023237_s4_A11...PacBio
BCM_Fam_BH5693	BCM_m84059_250305_062325_s1_A11...PacBio
BCM_Fam_BH5693	BCM_m84059_250305_082529_s2_A11...PacBio
BCM_Fam_BH16191	BCM_m84059_250305_102732_s3_A11...PacBio
BCM_Fam_BH16191	BCM_m84059_250305_122930_s4_A11...PacBio
BCM_Fam_BCM17807	BCM_m84059_250306_161952_s1_A11...PacBio
BCM_Fam_BCM17807	BCM_m84059_250306_182202_s2_A11...PacBio
BCM_Fam_BCM17807	BCM_m84059_250306_202402_s3_A11...PacBio
BCM_Fam_BCM17807	BCM_m84059_250306_222601_s4_A11...PacBio
BCM_Fam_BCM17395	BCM_m84059_250308_021622_s1_A11...PacBio
BCM_Fam_BCM17395	BCM_m84059_250308_041839_s2_A11...PacBio
BCM_Fam_BCM17395	BCM_m84059_250308_062045_s3_A11...PacBio
BCM_Fam_BCM17395	BCM_m84059_250308_082241_s4_A11...PacBio
BCM_Fam_BH16191	BCM_m84059_250309_121243_s1_A11...PacBio
BCM_Fam_BH16681	BCM_m84059_250309_141502_s2_A11...PacBio
BCM_Fam_BH16681	BCM_m84059_250309_161707_s3_A11...PacBio
BCM_Fam_BH16681	BCM_m84059_250309_181907_s4_A11...PacBio
BCM_Fam_BH14572	BCM_m84059_250310_220906_s1_A11...PacBio
BCM_Fam_BH14572	BCM_m84059_250311_001123_s2_A11...PacBio
BCM_Fam_BH14572	BCM_m84059_250311_021337_s3_A11...PacBio
